L 11/24/2020 - 08:04:46: Log file started (file "cstrike/addons/amxmodx/logs/antireklama.log") (game "cstrike") (amx "1.9.0.5271")
L 12/25/2020 - 19:11:57: Nick: максим | ID: STEAM_1:0:691478839 | IP: 93.119.144.4 | Country: error | 888888888888888888888
L 12/25/2020 - 19:33:39: Nick: SUSUKE | ID: STEAM_1:0:1625564132 | IP: 109.95.35.8 | Country: error | 8888888888888888888888888
L 12/26/2020 - 19:24:48: Nick: Наруто | ID: STEAM_1:0:1882079390 | IP: 77.222.97.203 | Country: error | 3333333333333
L 12/26/2020 - 20:40:57: Nick: МАКСИМ | ID: STEAM_1:0:691478839 | IP: 93.119.144.4 | Country: error | 88888888888888
L 12/26/2020 - 21:26:33: Nick: МАКСИМ | ID: STEAM_1:0:691478839 | IP: 93.119.144.4 | Country: error | 988888888888
L 12/27/2020 - 16:32:07: Nick: THE SAVE | ID: STEAM_1:0:1500364440 | IP: 37.113.164.107 | Country: error | 1123 123 123 321 123  231
L 12/27/2020 - 16:32:38: Nick: THE SAVE | ID: STEAM_1:0:1500364440 | IP: 37.113.164.107 | Country: error | 123 123 123 321 123 231
L 12/28/2020 - 12:17:21: Nick: CTarЬIu | ID: STEAM_1:0:1718226929 | IP: 95.47.255.16 | Country: error | 1111111111111111
L 12/28/2020 - 13:09:15: Nick: CTarЬIu | ID: STEAM_1:0:1718226929 | IP: 95.47.255.16 | Country: error | 111111111111
L 12/28/2020 - 16:22:59: Nick: S K I L | ID: STEAM_1:0:1838601821 | IP: 37.115.220.43 | Country: error | 444444444444444
L 12/28/2020 - 17:16:42: Nick: мишамбс | ID: STEAM_1:0:383716148 | IP: 178.34.158.223 | Country: error | 11111111111111111111111777777777777733333333333333333
L 12/29/2020 - 10:58:19: Nick: koroboc | ID: STEAM_1:0:1249688666 | IP: 178.57.99.141 | Country: error | зек 11111111111111111111111111111111111111111111111111111111111111111111
L 12/29/2020 - 11:07:41: Nick: CTarЬIu | ID: STEAM_1:0:1718226929 | IP: 95.47.255.16 | Country: error | 33333333333333
L 12/29/2020 - 11:07:44: Nick: koroboc | ID: STEAM_1:0:1249688666 | IP: 178.57.99.141 | Country: error | 66666666666666666666666
L 12/29/2020 - 11:23:36: Nick: jenika 61 | ID: STEAM_1:0:1019377618 | IP: 87.117.59.55 | Country: error | 77777777777777
L 12/29/2020 - 15:50:36: Nick: Player | rp16.ru | ID: STEAM_1:0:1146319723 | IP: 37.113.156.125 | Country: error | 10000000000000000000000000000000000000000 ИЗ 5
L 12/29/2020 - 15:51:15: Nick: Player | rp16.ru | ID: STEAM_1:0:1146319723 | IP: 37.113.156.125 | Country: error | 100000000000000000000ИЗ5
L 12/29/2020 - 22:27:54: Nick: jail top | ID: STEAM_1:0:719122993 | IP: 145.255.11.223 | Country: error | Я 1111111111111
L 12/30/2020 - 10:33:21: Nick: Dazy | ID: STEAM_1:0:1772836578 | IP: 31.207.174.84 | Country: error | @@88888888888888888888888888
L 12/30/2020 - 10:54:05: Nick: jail top | ID: STEAM_1:0:719122993 | IP: 145.255.11.223 | Country: error | к2222222222222222222222222222222222222222222222222222222222222222222222
L 12/30/2020 - 16:24:09: Nick: Dazy | ID: STEAM_1:0:1772836578 | IP: 31.207.174.84 | Country: error | @@ 333333333333333
L 12/30/2020 - 17:29:42: Nick: HAKER2020 | ID: STEAM_1:0:83694130 | IP: 188.190.221.153 | Country: error | 111111111111111111
L 12/30/2020 - 18:46:35: Nick: Xyl1gan4uk | ID: STEAM_1:0:25328121 | IP: 80.243.157.208 | Country: error | ГГГГГГО 111111111111111111111
L 12/30/2020 - 18:47:34: Nick: Xyl1gan4uk | ID: STEAM_1:0:25328121 | IP: 80.243.157.208 | Country: error | ГО 66666666666666
